player,position,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
Tomas Andrlik,D,71,2,18,20,0.28,52,-4,0
Jaimen Yakubowski,LW,58,10,9,19,0.33,158,-3,0
Patrick Bajkov,LW,56,9,10,19,0.34,18,-4,0
Joey Kornelsen,C,62,9,10,19,0.31,57,-26,0
Grayson Pawlenchuk,C,44,7,12,19,0.43,8,-4,0
Jerret Smith,D,72,3,16,19,0.26,40,14,0
Colton Waltz,D,66,2,17,19,0.29,54,-8,0
Bryson Gore,C,68,11,7,18,0.26,34,-29,0
Logan Harland,LW,59,10,8,18,0.31,28,-13,0
Jon Martin,C,63,10,8,18,0.29,105,-11,0
Joe Mahon,RW,56,9,9,18,0.32,82,3,0
Chad Labelle,C,69,9,9,18,0.26,44,-10,0
Alec Baer,C,60,8,10,18,0.3,22,8,0
Sam McKechnie,RW,66,7,11,18,0.27,50,-8,0
Ben Duperreault,C,65,6,12,18,0.28,18,-13,0
Griffin Foulk,D,66,4,14,18,0.27,86,-36,0
Josh Hanson,D,68,2,16,18,0.26,37,17,0
Trent Lofthouse,RW,47,11,6,17,0.36,33,-9,0
Travis McEvoy,RW,59,9,8,17,0.29,52,-7,0
Ryley Lindgren,C,67,9,8,17,0.25,16,-26,0
Taylor Crunk,LW,70,8,9,17,0.24,81,3,0
Tyler Bell,D,71,6,11,17,0.24,145,-36,0
Colby Harmsworth,D,70,4,13,17,0.24,34,20,0
Cole MacDonald,D,63,2,15,17,0.27,37,-9,0
Josh Derko,LW,42,11,5,16,0.38,78,-15,0
Gage Quinney,LW,58,8,8,16,0.28,5,6,0
Lane Bauer,C,47,7,9,16,0.34,8,5,0
Evan Polei,LW,62,7,9,16,0.26,54,-1,0
Tanner LeSann,C,57,6,10,16,0.28,97,-2,0
Keoni Texeira,D,65,2,14,16,0.25,30,21,0
Vukie Mpofu,RW,65,9,6,15,0.23,46,-2,0
Zac Mackay,C,72,9,6,15,0.21,72,-9,0
Geordie Maguire,LW,35,8,7,15,0.43,20,-1,0
David Nemecek,D,56,5,10,15,0.27,71,-16,0
Ayrton Nikkel,D,60,5,10,15,0.25,95,-13,0
Joseph Carvalho,D,65,3,12,15,0.23,20,-9,0
Remi Laurencelle,LW,58,2,13,15,0.26,23,-6,0
Sam Grist,D,62,2,13,15,0.24,167,-34,0
Justin Hamonic,D,72,1,14,15,0.21,46,0,0
Braden Purtill,LW,63,9,5,14,0.22,35,-7,0
Jack Palmer,LW,60,4,10,14,0.23,23,3,0
Markson Bechtold,LW,54,3,11,14,0.26,47,3,0
Logan Aasman,RW,56,3,11,14,0.25,42,3,0
Dallas Valentine,D,69,3,11,14,0.2,44,-28,0
Jared Hauf,D,72,3,11,14,0.19,128,-22,0
Matt Alfaro,C,65,2,12,14,0.22,16,-3,0
Graham Millar,RW,61,7,6,13,0.21,37,-22,0
Erik Benoit,C,31,6,7,13,0.42,6,-9,0
Mitch Lipon,C,55,6,7,13,0.24,30,-18,0
Zach McPhee,RW,65,6,7,13,0.2,47,-19,0
Ryan Coghlan,D,57,5,8,13,0.23,35,-9,0
Cole Benson,C,59,5,8,13,0.22,4,2,0
Carson Bolduc,LW,61,5,8,13,0.21,35,-22,0
Aaron Macklin,LW,67,5,8,13,0.19,99,-23,0
Adam Rossignol,C,48,4,9,13,0.27,43,0,0
Nick Charif,D,57,3,10,13,0.23,31,13,0
Cole Wedman,D,62,3,10,13,0.21,67,7,0
Jordan Thomson,D,29,1,12,13,0.45,22,-14,0
Colton Bobyk,D,56,5,7,12,0.21,62,-4,0
Kolten Olynek,C,57,4,8,12,0.21,21,-24,0
Tyler Mrkonijc,RW,69,4,8,12,0.17,25,-15,0
Jesse Lees,D,37,3,9,12,0.32,41,8,0
Michal Plutnar,D,51,3,9,12,0.24,46,-31,0
Scott Eansor,C,52,3,9,12,0.23,49,-3,0
Miles Warkentine,RW,65,3,9,12,0.18,22,-6,0
Clayton Kirichenko,D,70,3,9,12,0.17,53,-35,0
Kayle Doetzel,D,70,2,10,12,0.17,102,2,0
Matt Staples,D,62,1,11,12,0.19,47,12,0
Troy Murray,D,64,0,12,12,0.19,10,-9,0
Carter Hansen,D,70,8,3,11,0.16,38,-10,0
Cole Chorney,RW,58,6,5,11,0.19,22,-5,0
Colton McCarthy,C,63,6,5,11,0.17,57,-4,0
Bryton Sayers,D,46,4,7,11,0.24,33,-24,0
Tim Vanstone,C,55,4,7,11,0.2,35,-10,0
Nicholas Chyzowski,C,57,3,8,11,0.19,10,-28,0
Ben Carroll,D,52,2,9,11,0.21,13,6,0
Landon Cross,D,67,2,9,11,0.16,82,-3,0
Brandon Ralph,LW,46,8,2,10,0.22,34,1,0
Darcy Zaharichuk,LW,52,7,3,10,0.19,12,-1,0
Adam de Champlain,C,43,6,4,10,0.23,94,-4,0
Brett Kitt,LW,37,5,5,10,0.27,42,-1,0
Ryan Chynoweth,LW,45,4,6,10,0.22,73,-7,0
Jeremy McIntosh,D,70,4,6,10,0.14,94,7,0
Jackson Playfair,RW,70,4,6,10,0.14,108,-18,0
Mitch Skapski,LW,50,3,7,10,0.2,35,12,0
Lenny Hackman,D,72,2,8,10,0.14,6,-24,0
Taylor Green,D,65,0,10,10,0.15,56,2,0
Scott Cooke,RW,40,5,4,9,0.23,108,-13,0
Carter Folk,LW,50,5,4,9,0.18,109,-12,0
Matt Fonteyne,LW,61,4,5,9,0.15,10,-10,0
Taylor Vickerman,LW,30,3,6,9,0.3,17,-11,0
Braylon Shmyr,LW,34,3,6,9,0.26,4,-3,0
Ty Comrie,C,64,3,6,9,0.14,21,-24,0
Nathan Looysen,LW,57,2,7,9,0.16,18,-20,0
Gavin Broadhead,C,44,1,8,9,0.2,21,-10,0
Jordan Harris,D,52,1,8,9,0.17,29,0,0
Isaac Schacher,D,60,1,8,9,0.15,48,22,0
Evan Wardley,D,61,1,8,9,0.15,151,-5,0
Kevin Davis,D,65,1,8,9,0.14,9,-11,0
Raymond Grewal,D,56,0,9,9,0.16,36,-17,0
Edson Harlacher,D,71,0,9,9,0.13,44,-27,0
Rodney Southam,RW,52,5,3,8,0.15,37,-20,0
Linden Penner,RW,40,4,4,8,0.2,37,4,0
Craig Leverton,LW,50,4,4,8,0.16,31,-13,0
Mitch Elliot,LW,66,4,4,8,0.12,128,-16,0
Ethan Price,RW,67,4,4,8,0.12,30,-9,0
Devon McAndrews,LW,52,3,5,8,0.15,53,-15,0
Austin Glover,C,24,2,6,8,0.33,10,3,0
Ryan Gagnon,D,66,2,6,8,0.12,55,10,0
Brett Roulston,LW,48,1,7,8,0.17,75,-19,0
Kord Pankewicz,D,35,0,8,8,0.23,53,1,0
Chase Harrison,D,42,0,8,8,0.19,14,11,0
Jesse Shynkaruk,LW,67,4,3,7,0.1,20,-24,0
Eric Krienke,LW,50,3,4,7,0.14,9,-10,0
Marc McCoy,C,36,2,5,7,0.19,59,-14,0
Jeff Hubic,LW,41,1,6,7,0.17,38,-3,0
Terrell Draude,C,47,1,6,7,0.15,9,1,0
Reid Zalitach,D,47,1,6,7,0.15,36,-15,0
Meyer Nell,LW,49,1,6,7,0.14,21,-6,0
Joel Topping,D,25,0,7,7,0.28,10,-12,0
Peter Kosterman,D,45,0,7,7,0.16,43,-4,0
Spenser Jensen,D,58,0,7,7,0.12,60,-10,0
Kolton Dixon,D,67,0,7,7,0.1,132,-3,0
Martin Bobos,D,67,0,7,7,0.1,57,-11,0
Calvin Spencer,RW,32,3,3,6,0.19,17,-5,0
Blair Oneschuk,C,38,3,3,6,0.16,28,-5,0
Cal Babych,RW,41,3,3,6,0.15,11,1,0
Connor Honey,RW,7,2,4,6,0.86,22,0,0
Luca Leone,RW,33,2,4,6,0.18,6,-2,0
Alexander Chirva,C,58,2,4,6,0.1,15,-4,0
Josh Thrower,D,62,2,4,6,0.1,89,-6,0
Darcy DeRoose,LW,35,1,5,6,0.17,37,-9,0
Kirk Johnson,D,61,1,5,6,0.1,73,-20,0
Joe Gatenby,D,43,0,6,6,0.14,20,7,0
Wil Tomchuk,D,51,0,6,6,0.12,33,1,0
David Soltes,RW,15,4,1,5,0.33,10,-10,0
Kyle O'Connor,C,42,3,2,5,0.12,4,-11,0
Reid Nemeth,C,58,3,2,5,0.09,9,-25,0
Austin Adamson,RW,53,2,3,5,0.09,11,-14,0
Landon Welykholowa,C,34,1,4,5,0.15,8,-6,0
Adam Hascic,LW,40,1,4,5,0.13,41,-2,0
Nicolais Gomerich,C,44,1,4,5,0.11,21,-9,0
Stephen Hak,D,16,0,5,5,0.31,7,0,0
Jesse Mills,D,35,0,5,5,0.14,15,8,0
Matt Thomas,D,66,0,5,5,0.08,29,-40,0
Luke Harrison,RW,39,4,0,4,0.1,19,-12,0
Alex Mowbray,RW,35,3,1,4,0.11,11,-4,0
Rob Trzonkowski,RW,36,3,1,4,0.11,18,-12,0
Cavin Leth,C,48,3,1,4,0.08,55,-1,0
Michal Holub,RW,29,2,2,4,0.14,12,-7,0
Bobby Zinkan,D,52,2,2,4,0.08,60,9,0
Kristian Khenkel,D,29,1,3,4,0.14,21,-21,0
Shaun Dosanjh,D,45,1,3,4,0.09,32,-5,0
Austin Adam,D,50,1,3,4,0.08,34,-14,0
Griffin Mumby,D,55,1,3,4,0.07,31,0,0
Dalton Yorke,D,40,0,4,4,0.1,72,3,0
Kade Jensen,D,46,0,4,4,0.09,55,-19,0
Tyler Brown,D,52,0,4,4,0.08,28,-6,0
Micheal Zipp,D,52,0,4,4,0.08,38,-8,0
Dmitri Osipov,D,54,3,0,3,0.06,48,-16,0
Trace Elson,RW,15,2,1,3,0.2,11,-8,0
Andreas Eder,RW,19,2,1,3,0.16,2,-5,0
Tyson Predinchuk,RW,20,2,1,3,0.15,2,2,0
Lance Yaremchuk,C,15,1,2,3,0.2,0,0,0
Mitchell Friesen,LW,21,1,2,3,0.14,4,-7,0
Kevin Wolf,D,27,1,2,3,0.11,12,-7,0
Jeff Rayman,D,36,1,2,3,0.08,23,-4,0
Dakota Odgers,C,40,1,2,3,0.08,71,-3,0
Maximilian Kammerer,C,40,1,2,3,0.08,14,-7,0
Jacob Cardiff,LW,41,1,2,3,0.07,23,-2,0
Henrik Nyberg,RW,21,0,3,3,0.14,8,2,0
Shaun McPherson,D,29,0,3,3,0.1,24,-1,0
Tyler Dea,D,35,0,3,3,0.09,17,-13,0
Jake Kohlhauser,D,41,0,3,3,0.07,23,1,0
Matthew Gelinas,LW,42,0,3,3,0.07,47,-8,0
Jordan Steenbergen,D,49,0,3,3,0.06,59,-6,0
Zack Gonek,F,55,0,3,3,0.05,102,-9,0
Stephen Shmoorkoff,D,58,0,3,3,0.05,60,-3,0
Nolan Reid,D,2,1,1,2,1,0,-1,0
Jordan Davies,D,7,1,1,2,0.29,6,1,0
Braden Oleksyn,RW,17,1,1,2,0.12,20,3,0
Tyler Robertson,LW,26,1,1,2,0.08,7,-2,0
Brandon Potomak,LW,30,1,1,2,0.07,8,-7,0
Austin Douglas,D,35,1,1,2,0.06,49,-14,0
Jake Kryski,LW,4,0,2,2,0.5,0,-2,0
Kevin Pochuk,D,10,0,2,2,0.2,8,-3,0
Tanner Lishchynsky,D,26,0,2,2,0.08,10,-3,0
Brady Reagan,D,27,0,2,2,0.07,20,2,0
Mitchell Walter,RW,29,0,2,2,0.07,55,4,0
Carter Amson,LW,32,0,2,2,0.06,24,-15,0
Connor Clouston,D,51,0,2,2,0.04,61,-2,0
Morgan Geekie,C,1,1,0,1,1,0,-1,0
Tanner Wishnowski,LW,1,1,0,1,1,0,1,0
Nolan Patrick,C,3,1,0,1,0.33,0,3,0
Mason McCarty,RW,5,1,0,1,0.2,0,2,0
Matt Dykstra,LW,6,1,0,1,0.17,0,1,0
Dane Schioler,RW,7,1,0,1,0.14,0,-2,0
Carson Samoridny,RW,10,1,0,1,0.1,15,-4,0
Earl Webb,RW,13,1,0,1,0.08,0,0,0
Christian Stockl,RW,16,1,0,1,0.06,7,-6,0
Tate Coughlin,RW,1,0,1,1,1,2,1,0
Davis Koch,RW,2,0,1,1,0.5,0,1,0
Dominic Thom,D,2,0,1,1,0.5,0,3,0
Carter Cochrane,D,2,0,1,1,0.5,5,-3,0
Evan Fiala,D,2,0,1,1,0.5,2,1,0
Evan Morden,D,3,0,1,1,0.33,0,3,0
Matt Barberis,D,3,0,1,1,0.33,0,1,0
Nic Petan,C,63,35,78,113,1.79,69,47,1
Oliver Bjorkstrand,RW,69,50,59,109,1.58,36,44,1
Leon Draisaitl,C,64,38,67,105,1.64,24,7,1
Sam Reinhart,C,60,36,69,105,1.75,11,24,1
Jaedon Descheneau,RW,70,44,54,98,1.4,54,27,1
Brayden Point,C,72,36,55,91,1.26,53,-27,1
Greg Chase,C,70,35,50,85,1.21,83,29,1
Chase De Leo,C,72,39,42,81,1.13,36,49,1
Shea Theodore,D,70,22,57,79,1.13,39,19,1
Nikita Scherbak,RW,65,28,50,78,1.2,46,-6,1
Myles Bell,LW,69,42,35,77,1.12,51,21,1
Curtis Lazar,C,58,41,35,76,1.31,30,41,1
Morgan Klimchuk,LW,57,30,44,74,1.3,27,26,1
Josh Morrissey,D,59,28,45,73,1.24,59,6,1
Cole Ully,LW,69,30,42,72,1.04,34,-7,1
Jake Virtanen,RW,71,45,26,71,1,100,23,1
Conner Bleackley,C,71,29,39,68,0.96,48,3,1
Zach Pochiro,LW,63,27,39,66,1.05,123,-14,1
Jayce Hawryluk,C,59,24,40,64,1.08,44,16,1
Ryan Pulock,D,66,23,40,63,0.95,18,-4,1
Jackson Houck,RW,69,34,27,61,0.88,72,-2,1
Edgars Kulda,LW,66,30,30,60,0.91,57,34,1
Madison Bowey,D,72,21,39,60,0.83,93,44,1
John Quenneville,C,61,25,33,58,0.95,71,3,1
Nicholas Merkley,RW,66,25,33,58,0.88,46,24,1
Rourke Chartier,C,72,24,34,58,0.81,8,26,1
Austin Carroll,RW,70,34,23,57,0.81,114,18,1
Richard Nejezchleb,LW,66,32,25,57,0.86,75,-12,1
Julius Honka,D,62,16,40,56,0.9,52,10,1
Brett Pollock,LW,71,25,30,55,0.77,36,18,1
Mathew Barzal,C,59,14,40,54,0.92,20,3,1
Peter Quenneville,C,44,21,30,51,1.16,10,-11,1
Adam Helewka,LW,62,23,27,50,0.81,32,0,1
Paul Bittner,LW,63,22,27,49,0.78,27,25,1
Justin Kirkland,LW,68,17,31,48,0.71,40,23,1
Haydn Fleury,D,70,8,38,46,0.66,46,15,1
Eric Roy,D,66,11,33,44,0.67,51,-9,1
Keegan Iverson,RW,67,22,20,42,0.63,70,16,1
Ryan Gropp,LW,59,18,24,42,0.71,22,-5,1
Marc McNulty,D,67,17,25,42,0.63,115,-10,1
Tommy Vannelli,D,60,14,27,41,0.68,34,4,1
Reid Duke,C,62,15,25,40,0.65,91,-47,1
Kyle Burroughs,D,58,8,32,40,0.69,72,14,1
Adam Tambellini,C,31,17,22,39,1.26,10,-3,1
Jake DeBrusk,LW,72,15,24,39,0.54,21,8,1
Tyler Lewington,D,68,7,31,38,0.56,121,40,1
Tyrell Goulbourne,LW,68,17,20,37,0.54,114,26,1
Brycen Martin,D,72,6,31,37,0.51,42,-16,1
Alex Schoenborn,RW,72,18,18,36,0.5,121,19,1
Ryan Pilon,D,66,7,29,36,0.55,46,-13,1
Dysin Mayo,D,63,7,28,35,0.56,50,17,1
Dillon Heatherington,D,70,6,29,35,0.5,63,24,1
Jansen Harkins,C,67,10,24,34,0.51,18,-9,1
Colby Williams,D,66,9,23,32,0.48,82,0,1
Dominic Turgeon,C,65,10,21,31,0.48,31,18,1
Ben Thomas,D,72,7,24,31,0.43,39,11,1
Tyler Soy,C,65,15,15,30,0.46,15,1,1
Aaron Irving,D,63,9,21,30,0.48,88,26,1
Adam Musil,C,60,11,18,29,0.48,36,5,1
Travis Sanheim,D,67,5,24,29,0.43,14,25,1
Mitch Wheaton,D,57,7,21,28,0.49,38,31,1
Rinat Valiyev,D,55,5,23,28,0.51,68,27,1
Mirco Müller,D,60,5,22,27,0.45,31,1,1
Jesse Gabrielle,LW,49,12,14,26,0.53,68,-2,1
Chase Lang,C,68,10,15,25,0.37,52,13,1
Radel Fazleyev,C,38,5,20,25,0.66,12,1,1
Giorgio Estephan,C,64,12,12,24,0.38,18,-25,1
Lukas Sutter,C,45,10,13,23,0.51,76,-6,1
Mason Geertsen,D,66,4,19,23,0.35,126,-5,1
Glenn Gawdin,C,66,10,12,22,0.33,34,-11,1
Brett Lernout,D,72,8,14,22,0.31,103,7,1
Brad Morrison,C,55,12,9,21,0.38,12,-4,1
Ben Betker,D,68,7,14,21,0.31,102,-3,1
Ty Ronning,RW,56,9,11,20,0.36,4,-8,1
Ryan Rehill,D,72,4,16,20,0.28,182,-4,1
Ethan Bear,D,58,6,13,19,0.33,18,1,1
Parker Wotherspoon,D,62,2,16,18,0.29,74,0,1
Brandon Baddock,LW,56,6,11,17,0.3,128,5,1
Hunter Shinkaruk,C,18,5,11,16,0.89,29,-2,1
Sam Ruopp,D,64,5,11,16,0.25,55,-15,1
Anton Cederholm,D,71,4,12,16,0.23,95,42,1
Jack Walker,LW,48,7,8,15,0.31,23,2,1
Matteo Gennaro,C,60,5,10,15,0.25,14,-8,1
Brandon Carlo,D,71,3,10,13,0.18,66,-13,1
Adam Brooks,C,60,4,7,11,0.18,24,-9,1
Hudson Elynuik,C,58,3,8,11,0.19,55,-11,1
Tate Olson,D,52,2,8,10,0.19,17,0,1
Noah Juulsen,D,59,2,8,10,0.17,32,12,1
Brendan Guhle,D,51,0,10,10,0.2,29,-5,1
Mackenze Stewart,D,55,5,4,9,0.16,69,-7,1
Chaz Reddekopp,D,40,1,8,9,0.23,33,10,1
Keegan Kanzig,D,63,3,5,8,0.13,99,18,1
Keegan Kolesar,RW,60,2,6,8,0.13,45,-7,1
Deven Sideroff,RW,12,2,4,6,0.5,6,-3,1
Nelson Nogier,D,37,1,5,6,0.16,25,-2,1
Connor Hobbs,D,10,1,2,3,0.3,4,1,1
Beck Malenstyn,C,5,0,3,3,0.6,4,4,1
Austin Wagner,LW,42,1,1,2,0.05,18,1,1
Tanner Kaspick,C,1,1,0,1,1,0,0,1
Brett Howden,C,5,1,0,1,0.2,2,0,1
Tanner Faith,D,10,0,1,1,0.1,9,-1,1
Maxime Lajoie,D,1,0,0,0,0,0,0,1
Andrew Nielsen,D,1,0,0,0,0,0,0,1
David Quenneville,D,1,0,0,0,0,0,0,1
Josh Anderson,D,2,0,0,0,0,2,0,1
Kale Clague,D,2,0,0,0,0,0,0,1
Sam Steel,C,5,0,0,0,0,0,0,1
Tyler Benson,LW,7,0,0,0,0,0,-1,1
